Wall time,Step,Value
1731869149.798974,239,-15.155430793762207
1731869150.2498066,240,-15.21288776397705
1731869150.7887645,241,-15.20700740814209
1731869151.268528,242,-15.249692916870117
1731869151.757801,243,-15.245558738708496
1731869152.2288365,244,-15.288212776184082
1731869152.6974702,245,-15.326295852661133
1731869153.1538572,246,-15.059804916381836
1731869153.7000375,247,-15.325458526611328
1731869154.1492374,248,-15.342714309692383
1731869154.6060731,249,-15.314471244812012
1731869155.0583723,250,-15.331692695617676
1731869155.5161922,251,-15.377772331237793
1731869155.9726176,252,-15.384664535522461
1731869156.5027432,253,-15.470417022705078
1731869156.9481716,254,-15.350611686706543
1731869157.3979068,255,-15.327542304992676
1731869157.8399956,256,-15.382988929748535
1731869158.2982194,257,-15.394749641418457
1731869158.7462373,258,-15.377439498901367
1731869159.1984532,259,-15.431307792663574
1731869159.6546807,260,-15.399446487426758
1731869160.147334,261,-15.471236228942871
1731869160.6123657,262,-15.38105583190918
1731869161.0761254,263,-15.536531448364258
1731869161.541589,264,-15.439936637878418
1731869162.0027776,265,-15.459050178527832
1731869162.5425658,266,-15.49307918548584
1731869163.0285594,267,-15.506868362426758
1731869163.4738195,268,-15.580245018005371
1731869163.9432333,269,-15.510830879211426
1731869164.4046109,270,-15.530559539794922
1731869164.9252567,271,-15.525615692138672
1731869165.4542887,272,-15.579949378967285
1731869165.893713,273,-15.565932273864746
1731869166.3531659,274,-15.572948455810547
1731869166.8228693,275,-15.63204288482666
1731869167.278189,276,-15.524346351623535
1731869167.7401428,277,-15.604246139526367
1731869168.2007322,278,-15.620875358581543
1731869168.658132,279,-15.577143669128418
1731869169.114159,280,-15.616983413696289
1731869169.5686343,281,-15.552276611328125
1731869170.0270166,282,-15.6200590133667
1731869170.4912004,283,-15.606801986694336
1731869170.935522,284,-15.603610038757324
1731869171.4287558,285,-15.586221694946289
1731869171.870582,286,-15.594759941101074
1731869172.3001947,287,-15.599592208862305
1731869172.7465677,288,-15.633650779724121
1731869173.1788592,289,-15.66442584991455
1731869173.6156454,290,-15.689361572265625
1731869174.0556731,291,-15.647645950317383
1731869174.4954515,292,-15.729426383972168
1731869174.9176419,293,-15.696136474609375
1731869175.3489797,294,-15.717982292175293
1731869175.7779543,295,-15.69616413116455
1731869176.2115047,296,-15.649458885192871
1731869176.6502883,297,-15.715767860412598
1731869177.1467159,298,-15.703279495239258
1731869177.5788822,299,-15.673569679260254
1731869178.0198853,300,-15.721695899963379
